Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
48,Tyler Anderson\anderty01,31,SEA,3,0.231,42,,0,0.00%,66.70%,33.30%,,,,,,,,,,0,0.00%,0,0%,,
49,John Andreoli\andrejo03,31,SDP,7,0.277,72,0.333,0.167,0.00%,42.90%,14.30%,88.7,33.30%,66.70%,33.30%,0.00%,0.5,66.70%,33.30%,0.00%,0,0.00%,-0.6,100%,,50%
50,Elvis Andrus\andruel01,32,OAK,541,0.285,78,0.283,0.076,0.60%,15.00%,5.70%,86.8,34.90%,28.40%,45.40%,17.50%,0.86,26.70%,53.90%,19.40%,-2.4,-1.90%,-23,37%,86%,63%
51,Miguel Andujar\andujmi01,26,NYY,162,0.289,80,0.273,0.13,3.70%,17.30%,4.30%,87.1,37.00%,21.30%,52.80%,20.50%,1.12,27.60%,55.90%,16.50%,-1.7,-1.10%,-12.4,33%,0%,50%
52,Tejay Antone\antonte01,27,CIN,5,0.174,-52,,0,0.00%,60.00%,20.00%,20.3,0.00%,0.00%,0.00%,0.00%,,100.00%,0.00%,0.00%,0,0.00%,-0.3,100%,,
53,Aristides Aquino\aquinar01,27,CIN,204,0.306,73,0.253,0.218,4.90%,36.80%,13.20%,89,39.60%,21.80%,29.70%,34.70%,0.42,39.60%,44.60%,15.80%,-1.1,-1.00%,-7.2,29%,50%,53%
54,Jonathan Arauz\arauzjo01,22,BOS,75,0.279,61,0.191,0.185,4.00%,20.00%,10.70%,82.6,30.80%,19.20%,42.30%,19.20%,0.81,26.90%,48.10%,25.00%,-0.2,-0.10%,-6,35%,,33%
55,Orlando Arcia\arciaor01,26,TOT,89,0.261,43,0.23,0.111,2.30%,21.40%,7.90%,88.2,38.10%,17.50%,52.40%,20.60%,1.1,28.60%,60.30%,11.10%,-0.5,-0.10%,-0.9,33%,100%,29%
56,Orlando Arcia\arciaor01,26,MIL,11,0.082,-76,0.125,0,0.00%,27.30%,0.00%,95.1,62.50%,12.50%,62.50%,25.00%,1.67,12.50%,75.00%,12.50%,-0.1,-0.10%,-1.3,0%,,
57,Orlando Arcia\arciaor01,26,ATL,78,0.287,61,0.245,0.129,2.60%,20.50%,9.00%,87.1,34.50%,18.20%,50.90%,20.00%,1.04,30.90%,58.20%,10.90%,-0.4,0.00%,0.4,35%,100%,29%
58,Nolan Arenado\arenano01,30,STL,653,0.344,119,0.249,0.239,5.20%,14.70%,7.70%,89,37.50%,24.80%,31.30%,32.70%,0.46,35.50%,51.00%,13.50%,1.8,1.00%,19.1,28%,100%,44%
59,Kohei Arihara\arihako01,28,TEX,2,0,-125,0,0,0.00%,50.00%,0.00%,93.3,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,0.00%,-0.9,,,
60,Randy Arozarena\arozara01,26,TBR,604,0.351,131,0.363,0.185,3.30%,28.20%,9.30%,89.7,42.80%,22.80%,49.20%,20.60%,0.97,29.70%,52.50%,17.90%,2.2,1.00%,18.9,38%,67%,49%
61,Luis Arraez\arraelu01,24,MIN,479,0.326,107,0.323,0.082,0.40%,10.00%,9.00%,88.4,30.60%,28.50%,46.60%,23.30%,0.87,20.70%,58.80%,20.50%,0.3,-0.10%,7.9,33%,50%,41%
62,Jake Arrieta\arrieja01,35,TOT,30,0.185,-3,0.429,0,0.00%,53.30%,6.70%,63,18.20%,18.20%,36.40%,0.00%,1.33,18.20%,54.50%,27.30%,-0.6,-0.30%,-4.5,50%,,100%
63,Jake Arrieta\arrieja01,35,CHC,26,0.163,-27,0.4,0,0.00%,61.50%,7.70%,66.5,14.30%,28.60%,42.90%,0.00%,1.5,14.30%,57.10%,28.60%,-0.6,-0.30%,-4.5,40%,,100%
64,Jake Arrieta\arrieja01,35,SDP,4,0.449,288,0.5,0,0.00%,0.00%,0.00%,57,25.00%,0.00%,25.00%,0.00%,1,25.00%,50.00%,25.00%,0,0.00%,-0.1,100%,,100%
65,Christian Arroyo\arroych01,26,BOS,181,0.34,104,0.325,0.183,3.30%,24.30%,4.40%,85.8,35.50%,25.60%,48.80%,18.20%,0.97,22.30%,58.70%,19.00%,1.4,1.40%,3,31%,100%,53%
66,Humberto Arteaga\arteahu01,27,WSN,4,0,-128,0,0,0.00%,0.00%,0.00%,73.5,0.00%,25.00%,50.00%,25.00%,1,25.00%,75.00%,0.00%,0,0.00%,-0.6,,,
67,Aaron Ashby\ashbyaa01,23,MIL,4,0.232,7,,0,0.00%,50.00%,25.00%,45.8,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.3,0%,,
68,Willians Astudillo\astudwi01,29,MIN,216,0.276,71,0.221,0.139,3.20%,5.60%,1.40%,85.9,33.20%,23.40%,41.10%,22.30%,0.7,27.40%,56.30%,16.20%,-1.6,-0.40%,-14.1,20%,,29%
69,Alex Avila\avilaal01,34,WSN,111,0.312,93,0.314,0.157,0.90%,33.30%,17.10%,87.3,43.40%,22.60%,41.50%,32.10%,0.73,35.80%,54.70%,9.40%,-0.6,-0.20%,-4.5,11%,,13%
70,Pedro Avila\avilape01,24,SDP,1,0,-124,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
71,Akil Baddoo\baddoak01,22,DET,461,0.333,110,0.335,0.177,2.80%,26.50%,9.80%,86,32.30%,22.80%,40.50%,30.60%,0.68,33.00%,47.30%,19.70%,1.2,0.50%,12.3,34%,82%,48%
72,Harrison Bader\baderha01,27,STL,401,0.334,112,0.306,0.193,4.00%,21.20%,6.70%,86.2,31.70%,18.00%,44.00%,28.20%,0.79,28.20%,52.10%,19.70%,0,0.00%,2.9,25%,69%,36%
73,Javier Baez\baezja01,28,TOT,547,0.358,120,0.352,0.229,5.70%,33.60%,5.10%,89.7,45.30%,20.20%,46.70%,24.90%,0.89,30.20%,54.80%,15.00%,1.6,0.50%,19,34%,78%,58%
74,Javier Baez\baezja01,28,CHC,361,0.344,108,0.33,0.236,6.10%,36.30%,4.20%,90.5,47.10%,17.40%,48.30%,26.60%,0.94,30.00%,58.90%,11.10%,1,0.30%,11,31%,81%,53%
75,Javier Baez\baezja01,28,NYM,186,0.383,143,0.39,0.216,4.80%,28.50%,7.00%,88.2,42.10%,25.40%,43.90%,21.90%,0.79,30.70%,47.40%,21.90%,0.6,0.20%,8.1,38%,71%,63%
76,Anthony Banda\bandaan01,27,TOT,1,0,-128,0,0,0.00%,0.00%,0.00%,83.1,0.00%,0.00%,100.00%,0.00%,,0.00%,0.00%,100.00%,-0.1,-0.10%,-0.9,,,
77,Anthony Banda\bandaan01,27,NYM,1,0,-128,0,0,0.00%,0.00%,0.00%,83.1,0.00%,0.00%,100.00%,0.00%,,0.00%,0.00%,100.00%,-0.1,-0.10%,-0.9,,,
78,Caleb Baragar\baragca01,27,SFG,2,0,-131,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.5,,,
79,Daniel Bard\bardda01,36,COL,1,0.899,492,1,0,0.00%,0.00%,0.00%,99.9,100.00%,100.00%,0.00%,0.00%,0,0.00%,100.00%,0.00%,0,0.00%,0.4,100%,,
80,Austin Barnes\barneau01,31,LAD,225,0.292,73,0.268,0.13,2.70%,24.90%,8.90%,84.6,31.70%,20.00%,42.80%,30.30%,0.77,28.30%,57.20%,14.50%,0.2,0.20%,-2.8,36%,100%,26%
81,Charlie Barnes\barnech01,25,MIN,1,0,-124,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.3,,,
82,Tucker Barnhart\barnhtu01,30,CIN,388,0.305,71,0.324,0.121,1.80%,25.80%,7.50%,86.7,31.20%,23.10%,41.40%,28.70%,0.72,32.30%,50.60%,17.10%,-1.1,-0.10%,-7.1,29%,,30%
83,Luis Barrera\barrelu01,25,OAK,8,0.223,37,0.333,0,0.00%,25.00%,0.00%,89,33.30%,33.30%,33.30%,33.30%,0.5,16.70%,33.30%,50.00%,0,0.00%,0.1,50%,,100%
84,Tres Barrera\barretr01,26,WSN,107,0.345,117,0.328,0.121,1.90%,20.60%,11.20%,82,24.60%,27.50%,47.80%,14.50%,0.92,21.70%,60.90%,17.40%,0.4,0.00%,2.3,16%,,33%
85,José Barrero\garcijo02,23,CIN,56,0.29,58,0.303,0.12,0.00%,30.40%,5.40%,89.3,36.40%,18.20%,36.40%,39.40%,0.57,36.40%,57.60%,6.10%,-0.3,0.00%,-3.8,25%,100%,50%
86,Jaime Barria\barrija01,24,LAA,3,0,-128,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.1,0.00%,-0.7,,,
87,Joey Bart\bartjo01,24,SFG,6,0.283,70,0.5,0,0.00%,33.30%,0.00%,87.1,50.00%,50.00%,25.00%,0.00%,0.33,0.00%,100.00%,0.00%,0.1,0.00%,-0.1,50%,,0%
88,Chris Bassitt\bassich01,32,OAK,2,0,-121,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.1,0.00%,-0.6,,,
89,Trevor Bauer\bauertr01,30,LAD,34,0.051,-116,0.053,0,0.00%,32.40%,2.90%,73.7,0.00%,22.70%,54.50%,9.10%,1.71,13.60%,59.10%,27.30%,-0.5,-0.40%,-6.7,0%,,0%
90,Jake Bauers\bauerja01,25,TOT,315,0.268,64,0.275,0.067,1.30%,24.80%,9.50%,87.5,37.90%,26.50%,33.80%,27.90%,0.52,30.40%,55.40%,14.20%,-1.2,-0.70%,-17.4,26%,86%,24%
91,Jake Bauers\bauerja01,25,CLE,113,0.262,60,0.239,0.09,1.80%,23.90%,10.60%,89.1,42.50%,30.10%,35.60%,20.50%,0.57,28.80%,47.90%,23.30%,-0.4,-0.30%,-5,17%,0%,33%
92,Jake Bauers\bauerja01,25,SEA,202,0.272,66,0.295,0.055,1.00%,25.30%,8.90%,86.7,35.40%,24.40%,32.80%,32.10%,0.49,31.30%,59.50%,9.20%,-0.7,-0.40%,-12.4,31%,100%,18%
93,Matt Beaty\beatyma01,28,LAD,234,0.35,117,0.314,0.132,3.00%,18.80%,8.60%,86.7,30.60%,22.50%,43.80%,24.40%,0.78,36.90%,44.40%,18.80%,0.9,0.70%,13.6,36%,50%,39%
94,David Bednar\bednada01,26,PIT,1,0,-131,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.4,,,
95,Seth Beer\beerse01,24,ARI,10,0.575,275,0.6,0.444,10.00%,30.00%,10.00%,88.5,50.00%,66.70%,0.00%,33.30%,0,50.00%,33.30%,16.70%,0.2,0.00%,1.8,75%,,
96,Josh Bell\belljo02,28,WSN,568,0.37,134,0.276,0.215,4.80%,17.80%,11.40%,92.5,52.10%,22.00%,54.30%,21.30%,1.19,25.50%,59.00%,15.50%,0.6,-0.30%,10.5,28%,,39%
97,Cody Bellinger\bellico01,25,LAD,350,0.241,37,0.196,0.137,2.90%,26.90%,8.90%,89.1,34.50%,23.20%,31.30%,33.90%,0.46,33.90%,52.20%,13.80%,-1.5,-1.30%,-22.1,39%,75%,52%
98,Brandon Belt\beltbr01,33,SFG,381,0.409,159,0.309,0.323,7.60%,27.00%,12.60%,87.6,44.80%,21.50%,26.90%,41.70%,0.38,36.80%,44.80%,18.40%,2.1,1.50%,20.4,31%,60%,38%
99,Anthony Bemboom\bemboan01,31,LAA,28,0.209,19,0.353,0,0.00%,35.70%,3.60%,79.6,11.80%,29.40%,52.90%,11.80%,1.29,41.20%,35.30%,23.50%,-0.3,-0.20%,-4.1,29%,,50%
100,Anthony Bender\bendean01,26,MIA,2,0,-131,0,0,0.00%,50.00%,0.00%,106.7,100.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.2,,,
101,Andrew Benintendi\beninan01,26,KCR,538,0.329,105,0.309,0.166,3.20%,18.00%,6.70%,89.1,43.20%,21.80%,38.50%,34.50%,0.64,29.00%,54.30%,16.60%,0.8,0.20%,7.4,29%,47%,42%
102,Jose Berrios\berrijo01,27,TOT,4,0,-201,0,0,0.00%,50.00%,0.00%,32.5,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,-0.10%,-1.2,,,
103,Jose Berrios\berrijo01,27,MIN,2,0,-124,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.3,,,
104,Jose Berrios\berrijo01,27,TOR,2,0,-356,0,0,0.00%,0.00%,0.00%,32.5,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,-0.10%,-1,,,
105,Jon Berti\bertijo01,31,MIA,271,0.289,74,0.265,0.103,1.50%,22.50%,11.80%,86.8,38.30%,23.40%,58.90%,13.70%,1.45,16.00%,58.30%,25.70%,-0.6,-0.20%,-3.9,39%,67%,54%
106,Alec Bettinger\bettial01,25,MIL,1,0,-134,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
107,Mookie Betts\bettsmo01,28,LAD,550,0.38,136,0.276,0.223,4.20%,15.60%,12.40%,90.3,41.30%,23.60%,34.80%,33.00%,0.53,35.60%,50.60%,13.80%,0.4,0.00%,21.5,39%,67%,48%
108,Bo Bichette\bichebo01,23,TOR,690,0.365,124,0.339,0.186,4.20%,19.90%,5.80%,91.4,47.60%,23.90%,49.30%,22.30%,0.97,17.60%,59.80%,22.70%,2.3,1.70%,27.6,44%,96%,51%
109,Phil Bickford\bickfph01,25,TOT,3,0.3,79,1,0,0.00%,66.70%,0.00%,94.8,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,0.1,0%,,
110,Phil Bickford\bickfph01,25,LAD,3,0.3,79,1,0,0.00%,66.70%,0.00%,94.8,0.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,0.1,0%,,
111,Shane Bieber\biebesh01,26,CLE,6,0,-127,0,0,0.00%,50.00%,0.00%,80.6,0.00%,0.00%,66.70%,33.30%,2,0.00%,100.00%,0.00%,-0.1,-0.10%,-1.9,,,
112,Cavan Biggio\biggica01,26,TOR,294,0.298,82,0.29,0.132,2.40%,26.50%,12.60%,88.4,31.60%,26.00%,37.30%,29.40%,0.61,29.90%,51.40%,18.60%,-1.2,-0.70%,-7.5,23%,75%,39%
113,Braden Bishop\bishobr01,27,SEA,5,0.199,0,0.5,0,0.00%,40.00%,0.00%,52.9,33.30%,0.00%,33.30%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.4,100%,,0%
114,Charlie Blackmon\blackch02,34,COL,582,0.34,96,0.305,0.14,2.20%,15.60%,9.30%,87.6,38.50%,24.40%,47.40%,22.30%,0.9,28.20%,57.50%,14.30%,1.6,0.10%,10.9,33%,100%,32%
115,Alex Blandino\blandal01,28,CIN,82,0.286,56,0.333,0.057,0.00%,34.20%,9.80%,83.9,31.00%,28.60%,35.70%,21.40%,0.58,21.40%,61.90%,16.70%,-0.9,-0.50%,-3.3,35%,100%,25%
116,Travis Blankenhorn\blanktr01,24,TOT,24,0.292,79,0.214,0.217,4.20%,33.30%,4.20%,96.2,73.30%,13.30%,46.70%,26.70%,0.88,46.70%,33.30%,20.00%,-0.4,-0.20%,-1.1,75%,,0%
117,Travis Blankenhorn\blanktr01,24,NYM,24,0.292,79,0.214,0.217,4.20%,33.30%,4.20%,96.2,73.30%,13.30%,46.70%,26.70%,0.88,46.70%,33.30%,20.00%,-0.4,-0.20%,-1.1,50%,,0%
118,Richard Bleier\bleieri01,34,MIA,1,,,,,0.00%,0.00%,0.00%,54.4,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.2,,,
119,Xander Bogaerts\bogaexa01,28,BOS,603,0.379,132,0.333,0.198,3.80%,18.70%,10.30%,89.6,43.10%,28.80%,40.20%,23.90%,0.67,33.10%,50.40%,16.50%,1.2,0.90%,19.4,34%,83%,48%
120,Alec Bohm\bohmal01,24,PHI,417,0.298,77,0.327,0.095,1.70%,26.60%,7.40%,92,49.80%,28.20%,52.70%,16.50%,1.12,20.10%,56.00%,23.80%,-0.8,-0.80%,-11.7,33%,100%,24%
121,Skye Bolt\boltsk01,27,TOT,60,0.122,-46,0.098,0.07,1.70%,25.00%,1.70%,84,27.30%,15.90%,50.00%,25.00%,1.1,38.60%,54.50%,6.80%,-0.9,-0.70%,-9,80%,100%,67%
122,Skye Bolt\boltsk01,27,SFG,1,0,-131,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.2,,,
123,Skye Bolt\boltsk01,27,OAK,59,0.124,-44,0.098,0.071,1.70%,23.70%,1.70%,84,27.30%,15.90%,50.00%,25.00%,1.1,38.60%,54.50%,6.80%,-0.9,-0.70%,-8.8,80%,100%,67%
124,Jorge Bonifacio\bonifjo01,28,PHI,12,0.125,-44,0.2,0,0.00%,50.00%,8.30%,74.6,20.00%,20.00%,40.00%,40.00%,0.67,20.00%,40.00%,40.00%,0,0.00%,-1.1,0%,,
